date;1. open;2. high;3. low;4. close;5. volume
2020-02-07 16:00:00;184.0;184.08;183.76;183.95;417901.0
2020-02-07 15:59:00;183.94;184.005;183.905;184.0;172650.0
2020-02-07 15:58:00;183.74;183.98;183.74;183.94;167964.0
2020-02-07 15:57:00;183.69;183.8;183.68;183.7391;91472.0
2020-02-07 15:56:00;183.61;183.75;183.56;183.6851;112533.0
2020-02-07 15:55:00;183.67;183.73;183.55;183.62;147228.0
2020-02-07 15:54:00;183.66;183.73;183.66;183.67;95097.0
2020-02-07 15:53:00;183.71;183.73;183.65;183.6577;67290.0
2020-02-07 15:52:00;183.705;183.8;183.65;183.7;134920.0
2020-02-07 15:51:00;183.75;183.87;183.7;183.715;188429.0
2020-02-07 15:50:00;183.79;183.825;183.71;183.7368;105474.0
2020-02-07 15:49:00;183.91;183.93;183.76;183.78;99366.0
2020-02-07 15:48:00;183.9399;183.94;183.862;183.91;65975.0
2020-02-07 15:47:00;183.91;184.02;183.91;183.935;81219.0
2020-02-07 15:46:00;183.97;183.98;183.84;183.9;94524.0
2020-02-07 15:45:00;184.015;184.07;183.94;183.97;88110.0
2020-02-07 15:44:00;184.08;184.08;183.98;184.0298;99175.0
2020-02-07 15:43:00;184.1455;184.1455;184.07;184.09;83408.0
2020-02-07 15:42:00;184.08;184.21;184.07;184.1495;61343.0
2020-02-07 15:41:00;183.96;184.07;183.94;184.07;58520.0
2020-02-07 15:40:00;183.9485;184.02;183.92;183.965;50145.0
2020-02-07 15:39:00;183.92;183.95;183.85;183.945;53871.0
2020-02-07 15:38:00;183.945;183.95;183.89;183.92;58569.0
2020-02-07 15:37:00;184.005;184.0057;183.92;183.95;49116.0
2020-02-07 15:36:00;184.12;184.15;183.98;184.01;65648.0
2020-02-07 15:35:00;184.08;184.18;184.07;184.12;42016.0
2020-02-07 15:34:00;184.07;184.1;184.03;184.075;57598.0
2020-02-07 15:33:00;184.07;184.125;183.99;184.08;75752.0
2020-02-07 15:32:00;184.1;184.23;184.07;184.07;81309.0
2020-02-07 15:31:00;184.0;184.105;183.9803;184.09;69042.0
2020-02-07 15:30:00;183.955;184.065;183.93;183.9901;75190.0
2020-02-07 15:29:00;183.91;183.97;183.9;183.94;33989.0
2020-02-07 15:28:00;183.905;183.92;183.85;183.915;27212.0
2020-02-07 15:27:00;183.942;183.96;183.89;183.905;32373.0
2020-02-07 15:26:00;183.71;183.95;183.67;183.95;65505.0
2020-02-07 15:25:00;183.65;183.76;183.65;183.71;39335.0
2020-02-07 15:24:00;183.65;183.688;183.6;183.65;47117.0
2020-02-07 15:23:00;183.735;183.75;183.6384;183.66;34150.0
2020-02-07 15:22:00;183.78;183.79;183.7;183.735;57067.0
2020-02-07 15:21:00;183.875;183.885;183.7694;183.7799;30791.0
2020-02-07 15:20:00;183.899;183.95;183.84;183.87;38667.0
2020-02-07 15:19:00;183.92;183.93;183.89;183.8981;27442.0
2020-02-07 15:18:00;183.92;183.97;183.91;183.9194;28510.0
2020-02-07 15:17:00;184.0;184.03;183.88;183.93;45023.0
2020-02-07 15:16:00;183.94;184.005;183.905;183.9906;42653.0
2020-02-07 15:15:00;183.88;183.98;183.88;183.945;34864.0
2020-02-07 15:14:00;183.8275;183.8769;183.81;183.8701;27849.0
